YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,78,71,64,135,120,78
2026/01/07,42,23,11,14,9,14,15,23,22,9,12,21,19,16,7,14,15,6,21,23,34,27,23,10
2026/01/08,11,14,6,1,1,1,6,12,8,9,17,16,51,53,26,16,246,290,164,145,90,81,82,44
2026/01/09,32,67,16,16,5,9,15,32,20,22,21,20,25,8,34,65,46,37,17,22,22,77,60,33
2026/01/10,26,14,13,6,4,2,10,7,3,9,8,10,13,15,12,5,11,6,6,6,4,8,5,7
2026/01/11,3,5,3,3,1,0,2,2,6,2,2,2,2,4,9,4,3,1,3,5,10,12,5,7
2026/01/12,4,2,2,0,0,0,3,2,4,2,4,4,1,9,3,4,0,5,4,1,5,103,52,29
2026/01/13,20,2,6,0,3,4,1,13,10,1,10,5,6,3,7,4,6,6,0,0,0,0,0,0
